LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,GDP,TOT,USD_CAP,A,2019,53078.96537
AUT,GDP,TOT,USD_CAP,A,2019,58664.71872
BAN,GDP,TOT,USD_CAP,A,2019,817.6
BEL,GDP,TOT,USD_CAP,A,2019,54709.35477
CAN,GDP,TOT,USD_CAP,A,2019,50660.58744
CZE,GDP,TOT,USD_CAP,A,2019,43015.81475
DNK,GDP,TOT,USD_CAP,A,2019,60308.07226
FIN,GDP,TOT,USD_CAP,A,2019,51556.59032
FRA,GDP,TOT,USD_CAP,A,2019,49225.5644
DEU,GDP,TOT,USD_CAP,A,2019,55891.15984
GRC,GDP,TOT,USD_CAP,A,2019,30869.24986
HUN,GDP,TOT,USD_CAP,A,2019,33956.82187
ISL,GDP,TOT,USD_CAP,A,2019,60075.68433
IRL,GDP,TOT,USD_CAP,A,2019,89561.46394
ITA,GDP,TOT,USD_CAP,A,2019,44397.55612
JPN,GDP,TOT,USD_CAP,A,2019,42239.04762
KOR,GDP,TOT,USD_CAP,A,2019,42728.03174
LUX,GDP,TOT,USD_CAP,A,2019,120670.5001
MEX,GDP,TOT,USD_CAP,A,2019,20739.30874
NLD,GDP,TOT,USD_CAP,A,2019,59468.67281
NZL,GDP,TOT,USD_CAP,A,2019,44612.2794
NOR,GDP,TOT,USD_CAP,A,2019,68343.74079
POL,GDP,TOT,USD_CAP,A,2019,33858.27634
PRT,GDP,TOT,USD_CAP,A,2019,36871.73828
SVK,GDP,TOT,USD_CAP,A,2019,32562.55407
ESP,GDP,TOT,USD_CAP,A,2019,42211.80953
SWE,GDP,TOT,USD_CAP,A,2019,55337.87222
CHE,GDP,TOT,USD_CAP,A,2019,73114.49352
TUR,GDP,TOT,USD_CAP,A,2019,27599.82948
GBR,GDP,TOT,USD_CAP,A,2019,48542.09273
USA,GDP,TOT,USD_CAP,A,2019,65240.37903
CHL,GDP,TOT,USD_CAP,A,2019,25856.98547
COL,GDP,TOT,USD_CAP,A,2019,16077.32138
EST,GDP,TOT,USD_CAP,A,2019,38880.84506
ISR,GDP,TOT,USD_CAP,A,2019,41964.73542
RUS,GDP,TOT,USD_CAP,A,2019,29188.84569
SVN,GDP,TOT,USD_CAP,A,2019,41181.4257
OECD,GDP,TOT,USD_CAP,A,2019,46381.08748
OECDE,GDP,TOT,USD_CAP,A,2019,45443.64558
LVA,GDP,TOT,USD_CAP,A,2019,32013.34322
LTU,GDP,TOT,USD_CAP,A,2019,38765.02821
SAU,GDP,TOT,USD_CAP,A,2019,49112.51509
EA19,GDP,TOT,USD_CAP,A,2019,49303.88395
ARG,GDP,TOT,USD_CAP,A,2019,23040.28795
CRI,GDP,TOT,USD_CAP,A,2019,21759.3813
BGR,GDP,TOT,USD_CAP,A,2019,24579.33131
HRV,GDP,TOT,USD_CAP,A,2019,30231.24866
CYP,GDP,TOT,USD_CAP,A,2019,41514.94558
MLT,GDP,TOT,USD_CAP,A,2019,46704.58286
ROU,GDP,TOT,USD_CAP,A,2019,32293.14615
EU27_2020,GDP,TOT,USD_CAP,A,2019,43425.90096
